date,ticker,last_price,rsi_14,sma_50,sma_200,chg_pct_5d,chg_pct_1mo,signal
2026-03-12,AMD,204.83,48.4,216.92,189.99,1.37,-5.17,CAUTION
2026-03-12,AMZN,212.65,46.9,224.25,224.64,-1.92,1.88,CAUTION
2026-03-12,ASML,1386.68,49.4,1357.58,1002.61,-0.91,-2.87,WATCH
2026-03-12,C6L.SI,6.67,46.7,6.62,6.56,-0.15,-1.91,WATCH
2026-03-12,CL=F,92.9,72.7,65.94,63.61,14.68,45.25,HOLD
2026-03-12,COHR,251.41,52.8,220.42,142.23,-8.53,3.69,WATCH
2026-03-12,D05.SI,55.19,38.2,57.6,51.72,0.13,-5.16,CAUTION
2026-03-12,DX-Y.NYB,99.47,63.9,98.07,98.39,0.15,2.76,WATCH
2026-03-12,GC=F,5161.5,55.0,4898.12,4017.85,1.9,3.15,BUY
2026-03-12,GOOG,308.42,47.0,319.48,255.48,1.71,-4.86,CAUTION
2026-03-12,INTC,47.98,55.9,45.66,33.31,5.27,-4.5,WATCH
2026-03-12,LITE,672.0,57.3,497.48,251.39,-1.29,16.43,WATCH
2026-03-12,MU,418.69,56.0,382.98,219.68,4.47,9.18,WATCH
2026-03-12,NVDA,186.03,51.4,185.7,176.89,1.64,-2.1,HOLD
2026-03-12,O39.SI,20.68,43.9,20.85,18.02,-0.77,-3.27,CAUTION
2026-03-12,PLTR,151.6,54.4,155.06,162.52,-1.04,6.08,HOLD
2026-03-12,QQQ,607.69,48.8,614.32,589.33,-0.5,-1.08,CAUTION
2026-03-12,SPY,676.33,42.8,687.31,655.57,-1.28,-2.54,CAUTION
2026-03-12,U11.SI,36.17,41.0,37.22,35.41,0.44,-6.54,CAUTION
2026-03-12,VUAA.L,130.28,44.0,132.53,126.61,-1.48,-2.78,CAUTION
2026-03-12,XLE,56.98,67.3,51.39,45.28,1.41,6.23,WATCH
2026-03-12,Z74.SI,4.97,54.0,4.74,4.31,0.2,3.97,WATCH
2026-03-12,^TNX,4.21,61.5,4.16,4.2,3.14,0.24,WATCH
2026-03-12,^VIX,24.23,56.8,18.48,17.5,14.56,39.57,WATCH
2026-03-13,AMD,197.74,44.2,216.56,190.42,-0.86,-7.41,CAUTION
2026-03-13,AMZN,209.53,43.3,223.8,224.69,-4.3,1.24,CAUTION
2026-03-13,ASML,1351.58,45.5,1363.32,1005.73,-1.23,-4.39,CAUTION
2026-03-13,C6L.SI,6.54,41.1,6.62,6.56,-1.65,-3.82,CAUTION
2026-03-13,CL=F,93.74,71.1,66.72,63.78,3.12,45.04,HOLD
2026-03-13,COHR,241.27,49.5,221.47,143.05,-4.96,5.65,WATCH
2026-03-13,D05.SI,55.31,38.9,57.58,51.78,0.56,-4.31,CAUTION
2026-03-13,DX-Y.NYB,100.04,68.2,98.11,98.39,1.06,3.31,CAUTION
2026-03-13,GC=F,5117.2,52.8,4912.15,4026.74,-0.56,0.9,BUY
2026-03-13,GOOG,303.21,42.0,319.27,256.15,0.84,-4.77,CAUTION
2026-03-13,INTC,45.25,48.7,45.84,33.44,-1.52,-3.99,CAUTION
2026-03-13,LITE,616.09,51.1,502.35,254.09,-5.34,9.79,CAUTION
2026-03-13,MU,405.35,52.1,385.2,221.24,2.09,8.6,WATCH
2026-03-13,NVDA,183.14,48.2,185.6,177.15,-0.1,-2.86,CAUTION
2026-03-13,O39.SI,20.63,43.0,20.87,18.04,-0.91,-3.24,CAUTION
2026-03-13,PLTR,153.5,56.2,154.45,162.67,0.54,10.03,HOLD
2026-03-13,QQQ,597.26,41.9,613.85,589.78,-1.91,-2.32,CAUTION
2026-03-13,SPY,666.06,35.7,686.88,656.03,-2.24,-3.77,CAUTION
2026-03-13,U11.SI,36.16,41.1,37.24,35.42,0.25,-7.09,CAUTION
