policy_id,ticker,entry_date,avg_entry_price,tranches,exit_date,exit_price,exit_reason,pnl_pct,pnl_units,entry_stop,fees_units
v1_flat10,D05_SI,2026-04-23,56.2132,1,2026-04-24,56.21319256363337,stop,-0.16,-82,56.31,
v1_flat10,U11_SI,2026-04-23,36.19,1,2026-04-24,35.92,stop,-0.91,-456,35.92,
v1_flat10,D05_SI,2026-04-24,56.1146,1,2026-04-27,56.114574272835476,stop,0.06,28,56.3,
v1_flat10,ASML,2026-04-23,1414.7101,1,2026-04-28,1389.72998046875,stop,-1.77,-1776,1402.66,
v1_flat10,WRD,2026-05-04,7.84,1,2026-05-13,7.190000057220459,stop,-8.29,-4175,7.3,
v1_flat10,WRD,2026-05-15,7.14,1,2026-05-18,7.150000095367432,stop,0.14,71,7.42,
v1_flat10,MSFT,2026-06-04,428.05,1,2026-06-09,405.62,stop,-5.24,-2678,405.62,
v1_flat10,WRD,2026-06-18,6.1832,2,2026-06-23,5.849999904632568,stop,-5.39,-5675,6.03,
v1_flat10,AXTI,2026-06-23,77.91,1,2026-06-24,76.0,stop,-2.45,-1309,76.0,
v1_flat10,NVDA,2026-06-11,204.87,1,2026-06-25,194.51,stop,-5.06,-5092,194.51,
v1_flat10,MSFT,2026-06-25,352.83,1,2026-06-26,355.51,stop,0.76,395,355.51,
v1_flat10,SITM,2026-06-17,677.21,1,2026-06-26,633.32,stop,-6.48,-3353,633.32,
v1_flat10,NOK,2026-06-26,13.01,1,2026-06-29,12.850000381469727,stop,-1.23,-631,13.49,
v1_flat10,BE,2026-06-11,248.88,1,2026-07-16,216.04,stop,-13.19,-13287,216.04,
v1_flat10,GOOG,2026-06-11,356.56,1,2026-07-23,319.12,stop,-10.5,-10574,319.12,
v1_flat10,MU,2026-07-28,820.53,1,2026-07-29,833.0,stop,1.52,752,891.66,
v1_flat10,NVDA,2026-06-29,194.97,1,2026-07-29,190.43,stop,-2.33,-2326,190.43,
v1_flat10,LITE,2026-07-31,713.94,1,2026-08-03,680.43,stop,-4.69,-2360,680.43,
v1_flat10,MU,2026-08-07,877.57,1,2026-08-11,854.22,stop,-2.66,-1361,854.22,
v1_flat10,ASML,2026-08-13,1847.9,1,2026-08-19,1768.73,stop,-4.28,-2269,1768.73,
v1_flat10,MU,2026-08-13,949.83,1,2026-08-24,891.66,stop,-6.13,-3244,891.66,
v1_ladder10,D05_SI,2026-04-23,56.2132,1,2026-04-24,56.21319256363337,stop,-0.16,-82,56.31,
v1_ladder10,U11_SI,2026-04-23,36.19,1,2026-04-24,35.92,stop,-0.91,-456,35.92,
v1_ladder10,D05_SI,2026-04-24,56.1146,1,2026-04-27,56.114574272835476,stop,0.06,28,56.3,
v1_ladder10,ASML,2026-04-23,1414.7101,1,2026-04-28,1387.9349727988995,stop,-1.89,-1904,1402.66,
v1_ladder10,WRD,2026-05-04,7.84,1,2026-05-13,7.190000057220459,stop,-8.29,-4175,7.3,
v1_ladder10,WRD,2026-05-15,7.14,1,2026-05-18,7.150000095367432,stop,0.14,71,7.42,
v1_ladder10,MSFT,2026-06-04,428.05,1,2026-06-09,405.62,stop,-5.24,-2678,405.62,
v1_ladder10,WRD,2026-06-18,6.1828,2,2026-06-23,5.849999904632568,stop,-5.38,-5718,6.03,
v1_ladder10,AXTI,2026-06-23,77.91,1,2026-06-24,76.0,stop,-2.45,-1335,76.0,
v1_ladder10,NVDA,2026-06-11,204.87,1,2026-06-25,194.51,stop,-5.06,-5092,194.51,
v1_ladder10,MSFT,2026-06-25,352.83,1,2026-06-26,355.51,stop,0.76,401,355.51,
v1_ladder10,SITM,2026-06-17,677.21,1,2026-06-26,633.32,stop,-6.48,-3366,633.32,
v1_ladder10,NOK,2026-06-26,13.01,1,2026-06-29,12.850000381469727,stop,-1.23,-639,13.49,
v1_ladder10,BE,2026-06-11,248.88,1,2026-07-16,216.04,stop,-13.2,-19929,216.04,
v1_ladder10,GOOG,2026-06-11,352.4812,2,2026-07-23,319.12,stop,-9.46,-9901,319.12,
v1_ladder10,MU,2026-07-28,820.53,1,2026-07-29,833.0,stop,1.52,748,891.66,
v1_ladder10,NVDA,2026-06-29,194.97,1,2026-07-29,190.43,stop,-2.33,-2329,190.43,
v1_ladder10,LITE,2026-07-31,713.94,1,2026-08-03,680.43,stop,-4.69,-2346,680.43,
v1_ladder10,MU,2026-08-07,877.57,1,2026-08-11,854.22,stop,-2.66,-1353,854.22,
v1_ladder10,ASML,2026-08-13,1847.9,1,2026-08-19,1768.73,stop,-4.28,-2256,1768.73,
v1_ladder10,MU,2026-08-13,949.83,1,2026-08-24,891.66,stop,-6.12,-3225,891.66,
v1_tc_any_100,TSM,2026-04-20,365.3843,1,2026-04-23,381.7659606933594,caution_exit,4.48,4483,353.74,
v1_tc_any_100,D05_SI,2026-04-23,56.2132,1,2026-04-24,56.21319256363337,stop,-0.16,-82,56.31,
v1_tc_any_100,U11_SI,2026-04-23,36.19,1,2026-04-24,35.92,stop,-0.91,-456,35.92,
v1_tc_any_100,D05_SI,2026-04-24,56.1146,1,2026-04-27,56.114574272835476,stop,0.06,28,56.3,
v1_tc_any_100,ASML,2026-04-23,1414.7101,1,2026-04-28,1389.72998046875,stop,-1.77,-1776,1402.66,
v1_tc_any_100,WRD,2026-05-04,7.84,1,2026-05-05,7.630000114440918,caution_exit,-2.68,-1343,7.3,
v1_tc_any_100,O39_SI,2026-04-27,21.6,1,2026-05-11,22.5,caution_exit,4.91,2473,21.13,
v1_tc_any_100,U11_SI,2026-05-08,36.56,1,2026-05-13,37.349998474121094,caution_exit,1.95,976,36.1,
v1_tc_any_100,WRD,2026-05-15,7.14,1,2026-05-18,7.150000095367432,stop,0.14,70,7.42,
v1_tc_any_100,MSFT,2026-06-04,428.05,1,2026-06-09,405.62,stop,-5.24,-2631,405.62,
v1_tc_any_100,BE,2026-06-11,248.88,1,2026-06-15,274.5,caution_exit,10.29,10312,216.04,
v1_tc_any_100,SITM,2026-06-17,677.21,1,2026-06-18,729.0399780273438,caution_exit,7.65,3893,633.32,
v1_tc_any_100,WRD,2026-06-18,6.1852,2,2026-06-23,5.849999904632568,stop,-5.42,-5515,6.03,
v1_tc_any_100,AXTI,2026-06-23,77.91,1,2026-06-24,76.0,stop,-2.45,-1238,76.0,
v1_tc_any_100,NVDA,2026-06-11,204.87,1,2026-06-25,194.51,stop,-5.06,-5066,194.51,
v1_tc_any_100,MSFT,2026-06-25,352.83,1,2026-06-26,355.51,stop,0.76,380,355.51,
v1_tc_any_100,NOK,2026-06-26,13.01,1,2026-06-29,12.850000381469727,stop,-1.23,-615,13.49,
v1_tc_any_100,GOOG,2026-06-11,356.56,1,2026-06-30,353.3299865722656,caution_exit,-0.91,-907,319.12,
v1_tc_any_100,NVDA,2026-06-29,194.97,1,2026-06-30,200.08999633789062,caution_exit,2.63,2620,190.43,
v1_tc_any_100,MSFT,2026-06-30,379.2932,2,2026-07-02,390.489990234375,caution_exit,2.95,2964,355.51,
v1_tc_any_100,NVDA,2026-07-02,194.83,1,2026-07-06,194.4199981689453,stop,-0.21,-106,194.51,
v1_tc_any_100,NVDA,2026-07-14,211.8,1,2026-07-17,199.34,stop,-5.88,-5933,199.34,
v1_tc_any_100,MU,2026-07-28,820.53,1,2026-07-29,833.0,stop,1.52,762,891.66,
v1_tc_any_100,LITE,2026-07-31,713.94,1,2026-08-03,680.43,stop,-4.69,-2355,680.43,
v1_tc_any_100,NOK,2026-08-03,9.36,1,2026-08-05,9.579999923706055,caution_exit,2.35,1176,7.79,
v1_tc_any_100,NVTS,2026-08-04,12.69,1,2026-08-05,12.350000381469727,caution_exit,-2.68,-1341,10.74,
v1_tc_any_100,AIXA_DE,2026-08-03,37.48,1,2026-08-06,39.130001068115234,caution_exit,4.52,2264,32.41,
v1_tc_any_100,NVDA,2026-08-05,219.22,1,2026-08-06,218.99000549316406,caution_exit,-0.11,-53,205.65,
v1_tc_any_100,NOK,2026-08-07,9.36,1,2026-08-10,9.25,stop,-1.17,-589,9.25,
v1_tc_any_100,MU,2026-08-07,877.57,1,2026-08-11,854.22,stop,-2.66,-1334,854.22,
v1_tc_any_100,000660_KS,2026-08-07,1430940.7933,2,2026-08-14,1644000.0,caution_exit,14.72,14755,1246000.0,
v1_tc_any_100,MU,2026-08-13,949.83,1,2026-08-17,1011.75,caution_exit,6.52,3300,891.66,
v1_tc_any_100,ASML,2026-08-13,1847.9,1,2026-08-18,1802.97998046875,caution_exit,-2.43,-1231,1768.73,
v1_tc_any_100,000660_KS,2026-08-19,1517000.0,1,2026-08-20,1691000.0,caution_exit,13.41,6821,1373000.0,
v1_tc_any_100,AIXA_DE,2026-08-24,36.75,1,2026-08-26,36.79,stop,0.05,26,36.79,
v1_tc_any_33r,D05_SI,2026-04-23,56.2132,1,2026-04-24,56.21319256363337,stop,-0.16,-82,56.31,
v1_tc_any_33r,U11_SI,2026-04-23,36.19,1,2026-04-24,35.92,stop,-0.91,-456,35.92,
v1_tc_any_33r,D05_SI,2026-04-24,56.1146,1,2026-04-27,56.114574272835476,stop,0.06,28,56.3,
v1_tc_any_33r,ASML,2026-04-23,1414.7101,1,2026-04-28,1389.72998046875,stop,-1.77,-1776,1402.66,
v1_tc_any_33r,WRD,2026-05-15,7.14,1,2026-05-18,7.150000095367432,stop,0.14,71,7.42,
v1_tc_any_33r,MSFT,2026-06-04,428.05,1,2026-06-09,405.62,stop,-5.24,-2664,405.62,
